score,height (cm),climbing length,age
1278.1,172,27,33
1262.7,183,19,35
1256.4,181,22,25
1254.1,185,23,29
1248,165,22,46
1238.5,172,28,47
1228.2,178,25,41
1227.8,180,21,31
1227.2,167,18,28
1227,178,26,32
1223.5,187,38,51
1218,170,14,28
1217,184,23,37
1216.9,180,20,30
1215.6,173,14,25
1214.8,193,39,42
1214.2,,22,2022
1212.6,170,20,34
1212.1,169,21,36
1208.3,180,16,27
1207,177,2022,27
1206.1,178,23,37
1204.2,186,19,30
1203.3,159,17,25
1202.7,178,15,26
1201.1,,13,31
1200.8,180,25,32
1195.7,181,14,31
1195,176,15,25
1194.6,178,27,36
1193.5,178,34,45
1192.5,170,15,29
1191,162,13,29
1190.4,168,12,30
1190.4,172,18,22
1190.2,169,11,23
1188,168,19,37
1183.7,174,20,2022
1180.6,167,14,22
1179.8,178,17,34
1179.6,174,27,37
1178.3,179,2022,23
1178.3,167,2022,24
1178.1,180,2022,29
1177.2,,2022,24
1177,175,22,40
1174.9,172,21,31
1173.5,169,13,20
1171.6,180,14,25
1170.9,176,18,35
1170.3,173,19,27
1168.6,173,16,22
1165.4,,2022,2022
1165.4,,20,27
1165.3,177,2022,27
1165.3,174,2022,2022
1165,167,15,26
1163.9,170,23,31
1163.3,,17,25
1163,168,2022,39
1162.4,,2022,2022
1162.1,184,2022,42
1161.2,176,2022,21
1160.8,172,19,31
1160.4,,2022,2022
1160.3,175,8,21
1160,175,18,25
1160,182,16,26
1160,177,15,29
1158.5,,2022,2022
1158.4,180,12,20
1156.2,,2022,26
1156,166,16,36
1155.8,,2022,26
1155.6,182,15,24
1155.2,,24,39
1155.2,189,24,40
1155.2,164,18,28
1155.2,,21,33
1155,169,15,22
1155,170,14,39
1155,176,13,24
1155,180,21,27
1154.8,182,14,36
1154.2,189,27,40
1153.2,176,23,39
1152.4,170,2022,28
1150.7,179,25,37
1150.4,168,37,48
1150,,14,22
1148.9,174,16,32
1148.8,172,19,35
1148.1,,2022,38
1147.2,188,26,26
1146.8,,2022,2022
1145.7,,2022,
1145,173,2022,26
1144.5,173,19,26
1144.4,187,28,49
1144.4,178,27,35
1144.4,,2022,24
1142.6,,2022,2022
1142.2,167,6,24
1141.5,180,25,45
1141.2,,22,28
1141,178,22,36
1140.9,180,22,29
1140.4,181,17,21
1140,,10,2022
1138.5,180,28,22
1138.4,173,22,48
1138,,2022,33
1137.4,,15,28
1137.1,178,25,40
1137.1,180,22,36
1136.5,183,2022,30
1136.4,,2022,2022
1136.4,,10,2022
1135.6,177,19,31
1135,193,11,24
1134.9,,36,46
1134.7,190,42,54
1133.6,,2022,2022
1133,174,22,38
1131.7,171,30,46
1130.5,184,22,41
1130,170,11,19
1130,169,23,39
1130,,20,24
1130,170,18,28
1130,,12,25
1129.7,,2022,2022
1129.3,,2022,36
1128.6,180,13,28
1128.4,170,21,28
1128.3,167,21,26
1127.4,190,27,38
1127.2,,2022,44
1127.1,,11,26
1126.7,178,28,44
1126.5,,7,19
1126.2,173,2022,26
1125.9,181,13,24
1125.8,168,27,41
1125.8,163,29,46
1125.6,171,2022,37
1125.5,174,24,50
1125.3,179,28,37
1125.3,,10,24
1125.2,177,7,21
